@RELATION safe-tweets

@ATTRIBUTE hasUrl 	 NUMERIC 
@ATTRIBUTE verifiedUser 	 NUMERIC 
@ATTRIBUTE Mentions 	 NUMERIC 
@ATTRIBUTE Emphasis 	 NUMERIC 
@ATTRIBUTE Retweet 	 NUMERIC 
@ATTRIBUTE Profanity 	 NUMERIC 
@ATTRIBUTE Explicit 	 NUMERIC 
@ATTRIBUTE HateSpeech 	 NUMERIC 
@ATTRIBUTE class 	{Positive, Negative}

@DATA

UnfuckableFuck: I can commit. Louis and I have been hanging and banging for almost 4 years #truelove #LouisVuitton #bitcheslovepurses,0,0,0,1,0,0,0,0
UnfuckableFuck: Retail therapy always cures the Monday  blues #SSP,0,0,0,0,0,0,0,0
UnfuckableFuck: I have longer relationships with clothes than I do with people #undateable,0,0,0,0,0,0,0,0
UnfuckableFuck: I wish every guy I slept with would develop amnesia so they stop stalking me,0,0,0,0,0,0,0,0
UnfuckableFuck: Give my fucking hour back, whore,0,0,0,0,0,1,1,0
UnfuckableFuck: RT @TruthByME: @UnfuckableFuck I feel like this would be a good response. http://t.co/spKkXviuHX,0,0,1,1,1,0,0,0
UnfuckableFuck: #OMGAH http://t.co/uyTglTp0IX,0,0,0,1,0,0,0,0
UnfuckableFuck: @likeanerdd I totally agree but how do you say your name is it just "s peace" or "assss piece"? lol,0,0,1,0,0,0,1,0
UnfuckableFuck: I haven't practiced any kind of religion except for eating,0,0,0,0,0,0,0,0
UnfuckableFuck: Threesome with Justin Timberlake and Adam Levine &gt;&gt;&gt;,0,0,0,0,0,0,0,0
UnfuckableFuck: Unfortunately you still exist and fortunately we're still not compatible,0,0,0,0,0,0,0,0
UnfuckableFuck: I'm the best thing you'll never have,0,0,0,0,0,0,0,0
UnfuckableFuck: Your bitch, she so thirsty,0,0,0,0,0,2,0,1
UnfuckableFuck: Let me tell you about a recent place I visited #rockbottom #unfuckable,0,0,0,0,0,0,0,0
UnfuckableFuck: Nice Christian Audigier hoodie, douchebagel #unfuckable,0,0,0,1,0,0,0,0
UnfuckableFuck: You don't gotta go home but you can't stay here #unfuckable,0,0,0,1,0,0,0,0
UnfuckableFuck: RT @Silly__Brunette: 15 year olds need to stop RTing my dirty tweets it makes me uncomfortable,0,0,1,0,1,0,0,0
UnfuckableFuck: RT @ExtraGrumpyCat: OMG THIS ACTUALLY WORKS!!!
1): Hold your breath for 5 minutes
2): Die,0,0,1,0,1,0,0,0
UnfuckableFuck: @PrettyLilGeek that's not Boston last time I checked a map,0,0,1,0,0,0,0,0
UnfuckableFuck: Where is everyone tonight? #Boston,0,0,0,0,0,0,0,0
RightSideNews: Right Side News Syria: Obama Administration is Arming–and Training Militarily?–Radical Islamists: In ... http://t.co/NsivWVPY4q breaking,1,0,0,1,0,0,0,0
RightSideNews: Right Side News Syria: Obama Administration is Arming–and Training Militarily?–Radical Islamists: In a new dev... http://t.co/NsivWVPY4q,1,0,0,1,0,0,0,0
RightSideNews: http://t.co/x3CN2jhVUV... http://t.co/cRmdusSKe9,1,0,0,2,0,0,0,0
RightSideNews: Right Side News Al Qaeda Threat to U.S. Not Diminished, Data Indicates: Conventional wisdom holds that the thr... http://t.co/AyzqNdMPzo,1,0,0,1,0,0,0,0
RightSideNews: Right Side News Former Secret Service Agent Calls White House Tour Shutdown "Naked, Petty Politics": Dan Bongi... http://t.co/W5ox2HkrGH,1,0,0,1,0,0,0,0
