@RELATION safe-tweets

@ATTRIBUTE hasUrl 	 NUMERIC 
@ATTRIBUTE verifiedUser 	 NUMERIC 
@ATTRIBUTE Mentions 	 NUMERIC 
@ATTRIBUTE Emphasis 	 NUMERIC 
@ATTRIBUTE Retweet 	 NUMERIC 
@ATTRIBUTE Profanity 	 NUMERIC 
@ATTRIBUTE Explicit 	 NUMERIC 
@ATTRIBUTE HateSpeech 	 NUMERIC 
@ATTRIBUTE class 	{Safe, Unsafe}

@DATA
0,0,0,1,0,0,0,0,Unsafe
0,0,0,1,0,0,1,0,Unsafe
0,0,0,1,0,0,0,0,Unsafe
0,0,0,1,0,0,0,0,Unsafe
0,0,0,1,0,0,1,0,Unsafe
0,0,1,0,0,1,1,0,Unsafe
0,0,1,0,0,0,0,0,Unsafe
0,0,1,0,0,1,1,0,Unsafe
0,0,1,0,0,0,0,0,Unsafe
0,0,0,1,0,0,0,0,Unsafe
0,0,0,0,0,2,1,0,Unsafe
0,0,1,0,0,2,2,0,Unsafe
0,0,1,1,0,0,0,0,Unsafe
0,0,1,1,0,0,1,0,Unsafe
0,0,1,0,0,0,2,0,Unsafe
0,0,1,0,0,0,0,0,Safe
0,0,1,1,0,0,0,0,Safe
0,0,1,0,0,0,0,0,Safe
0,0,0,0,0,0,0,0,Safe
0,0,0,0,0,0,0,0,Safe
0,0,0,0,0,0,0,0,Safe
0,0,0,1,0,0,0,0,Safe
0,0,1,0,0,0,0,0,Safe
0,0,1,0,0,0,0,0,Safe
0,0,1,0,1,0,0,0,Safe
0,0,1,0,0,0,0,0,Safe
0,0,1,0,0,0,0,0,Safe
0,0,1,0,0,0,0,0,Safe
1,1,0,2,0,0,0,0,Safe
1,1,0,1,0,0,0,0,Safe
1,1,0,1,0,0,0,0,Safe
0,1,1,2,1,0,0,0,Safe
1,1,0,2,0,0,0,0,Safe
1,1,1,2,1,0,0,0,Safe
0,1,1,0,0,0,0,0,Safe
0,1,1,0,0,0,0,0,Safe
1,1,1,2,1,0,0,0,Safe
0,1,1,0,1,0,0,0,Safe
0,0,1,0,0,0,0,0,Safe
0,0,1,0,0,0,0,0,Safe
